nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
NBA Live 2005,NBA Live,PlayStation 2,2004,Electronic Arts,EA Canada,,Everyone,PEGI 3,,
NBA Live 2005,NBA Live,Xbox,2004,Electronic Arts,EA Canada,,Everyone,PEGI 3,,
UEFA Euro 2008,Q863992,PlayStation 2,2008,EA Sports,EA Canada,,Everyone,PEGI 3,,
UEFA Euro 2008,Q863992,PlayStation 3,2008,EA Sports,EA Canada,,Everyone,PEGI 3,,
UEFA Euro 2008,Q863992,Xbox 360,2008,EA Sports,EA Canada,,Everyone,PEGI 3,,
Looney Tunes : Acme Arsenal,,Wii,2007,Warner Bros. Interactive Entertainment,Redtribe,,,,,
Looney Tunes : Acme Arsenal,,PlayStation 2,2007,Warner Bros. Interactive Entertainment,Redtribe,,,,,
Looney Tunes : Acme Arsenal,,Xbox 360,2007,Warner Bros. Interactive Entertainment,Redtribe,,,,,
Superman Returns,,PlayStation 2,2006,Electronic Arts,EA Tiburon,,,,,
Superman Returns,,Xbox 360,2006,Electronic Arts,EA Tiburon,,,,,
Superman Returns,,Xbox,2006,Electronic Arts,EA Tiburon,,,,,
Giants: Citizen Kabuto,,PlayStation 2,2000,Interplay Entertainment,Planet Moon Studios,http://www.planetmoon.com/previous_giants.html,,,,
Family Guy Video Game!,,PlayStation 2,2006,2K Games,High Voltage Software,,Mature 17+,PEGI 18,,
Family Guy Video Game!,,Xbox,2006,2K Games,High Voltage Software,,Mature 17+,PEGI 18,,
Rune,,PlayStation 2,2000,Gathering of Developers,Human Head Studios,http://www.rune-world.com/,,,,
Condemned: Criminal Origins,,Xbox 360,2005,Sega,Monolith Productions,http://www.sega.com/games/condemned-2-bloodshot/,Mature 17+,PEGI 18,,
Summoner,,PlayStation 2,2000,THQ,Volition,http://web.archive.org/web/20060623043452/http://www.summoner.com/,,,,
Need for Speed: ProStreet,Need for Speed,Wii,2007,Electronic Arts,EA Canada,http://www.ea.com/prostreet,Everyone 10+,PEGI 3,,
Need for Speed: ProStreet,Need for Speed,PlayStation 2,2007,Electronic Arts,EA Canada,http://www.ea.com/prostreet,Everyone 10+,PEGI 3,,
